Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,LIM,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,CON,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,DMN,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,Temp,se,"{'VIS': [[0.02691391624889091], [0.6261530011858644], [1.0]], 'SMN': [[0.1373888602370317], [0.012483292883121045], [0.21221597901305778]], 'DAN': [[0.05437469995454743], [0.3247488057912812], [1.0]], 'VAN': [[0.11270064238858725], [0.04075015271526698], [0.6927525961595387]], 'LIM': [[0.16054251565188413], [0.003452045366976539], [0.05868477123860116]], 'CON': [[0.07579713719333242], [0.16954245502418938], [1.0]], 'DMN': [[0.07479894357884653], [0.17524749685911564], [1.0]], 'Temp': [[0.09769903731195129], [0.07634496840513895], [1.0]]}"
ages,rest1_s200,VIS,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,SMN,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,DAN,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,VAN,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,LIM,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,CON,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,DMN,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
