Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,VIS,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,SMN,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,DAN,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,VAN,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,LIM,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,CON,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,DMN,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest1_s200,Temp,mse,"{'VIS': [[-0.14548034785895278], [0.008124548115270868], [0.13811731795960475]], 'SMN': [[-0.1646395710941899], [0.0027000138645800658], [0.04590023569786112]], 'DAN': [[-0.15530425955959742], [0.0046881762724465805], [0.07969899663159187]], 'VAN': [[-0.22831624764436503], [2.8233088251166366e-05], [0.00047996250026982823]], 'LIM': [[-0.2283141397860038], [2.82380268125773e-05], [0.00048004645581381413]], 'CON': [[-0.16665664524216775], [0.0023874823836304835], [0.04058720052171822]], 'DMN': [[-0.10273586416931109], [0.06230157622850025], [1.0]], 'Temp': [[-0.16618177351527774], [0.002457938456058879], [0.04178495375300094]]}"
ages,rest2_s200,VIS,std_raw,"{'VIS': [[-0.14424115350563255], [0.00868874413764878], [0.14770865034002925]], 'SMN': [[-0.10789727545255394], [0.05019077433579164], [0.8532431637084579]], 'DAN': [[-0.142102552996493], [0.009744807968599131], [0.16566173546618523]], 'VAN': [[-0.13811452409613834], [0.012021856117323202], [0.20437155399449444]], 'LIM': [[-0.15237521662631806], [0.005541512261011692], [0.09420570843719876]], 'CON': [[-0.18567095329923816], [0.0006999421908775023], [0.011899017244917539]], 'DMN': [[-0.17138633197241754], [0.0017797132207489049], [0.030255124752731382]], 'Temp': [[-0.07871958549786053], [0.15363724364531955], [1.0]]}"
ages,rest2_s200,SMN,std_raw,"{'VIS': [[-0.14424115350563255], [0.00868874413764878], [0.14770865034002925]], 'SMN': [[-0.10789727545255394], [0.05019077433579164], [0.8532431637084579]], 'DAN': [[-0.142102552996493], [0.009744807968599131], [0.16566173546618523]], 'VAN': [[-0.13811452409613834], [0.012021856117323202], [0.20437155399449444]], 'LIM': [[-0.15237521662631806], [0.005541512261011692], [0.09420570843719876]], 'CON': [[-0.18567095329923816], [0.0006999421908775023], [0.011899017244917539]], 'DMN': [[-0.17138633197241754], [0.0017797132207489049], [0.030255124752731382]], 'Temp': [[-0.07871958549786053], [0.15363724364531955], [1.0]]}"
